,gsId,name,type,gradeRange,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,enrollment,gsRating,parentRating,Zip Code
0,5369,Family Education Center for Parenting Teens,public,n/a,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"1644 North McKinley Road, 
Arlington, VA  22205",(703) 228-2700,,,510027002861,38.886757,-77.14195,https://www.greatschools.org/virginia/arlington/5369-Family-Education-Center-For-Parenting-Teens/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/5369-Family-Education-Center-For-Parenting-Teens/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/5369-Family-Education-Center-For-Parenting-Teens/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/5369-Family-Education-Center-For-Parenting-Teens/?utm_source=GSAPI&utm_medium=referral,,,,22205
1,5247,Governor's Academy for Career and Technical Education In Arlington,public,n/a,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"816 South Walter Reed Drive, 
Arlington, VA  22204",(703) 323-2263,,,510027003003,38.864452,-77.08828,https://www.greatschools.org/virginia/arlington/5247-Governor's-Academy-For-Career-And-Technical-Education-In-Arlington/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/5247-Governor's-Academy-For-Career-And-Technical-Education-In-Arlington/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/5247-Governor's-Academy-For-Career-And-Technical-Education-In-Arlington/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/5247-Governor's-Academy-For-Career-And-Technical-Education-In-Arlington/?utm_source=GSAPI&utm_medium=referral,,,,22204
2,136,Gunston Middle School,public,6-8,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"2700 South Lang Street, 
Arlington, VA  22206",(703) 228-6900,,http://www.apsva.us/gunston/site/default.asp,510027000752,38.84813,-77.06949,https://www.greatschools.org/virginia/arlington/136-Gunston-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/136-Gunston-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/136-Gunston-Middle-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/136-Gunston-Middle-School/?utm_source=GSAPI&utm_medium=referral,977.0,6.0,4.0,22206
3,3304,Hb Woodlawn Secondary Prgm.,public,n/a,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"4100 Vacation Lane, 
Arlington, VA  22207",(703) 228-6363,,http://www.apsva.us/woodlawn/site/default.asp,510027002659,38.90026,-77.11186,https://www.greatschools.org/virginia/arlington/3304-Hb-Woodlawn-Secondary-Prgm./?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/3304-Hb-Woodlawn-Secondary-Prgm./?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/3304-Hb-Woodlawn-Secondary-Prgm./?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/3304-Hb-Woodlawn-Secondary-Prgm./?utm_source=GSAPI&utm_medium=referral,,,5.0,22207
4,121,Jefferson Middle School,public,6-8,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"125 South Old Glebe Road, 
Arlington, VA  22204",(703) 228-5900,,http://www.apsva.us/jefferson/site/default.asp,510027000098,38.870068,-77.09635,https://www.greatschools.org/virginia/arlington/121-Jefferson-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/121-Jefferson-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/121-Jefferson-Middle-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/121-Jefferson-Middle-School/?utm_source=GSAPI&utm_medium=referral,912.0,5.0,4.0,22204
5,122,Kenmore Middle School,public,6-8,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"200 South Carlin Springs Road, 
Arlington, VA  22204",(703) 228-6800,,http://www.apsva.us/kenmore/site/default.asp,510027000099,38.86425,-77.13171,https://www.greatschools.org/virginia/arlington/122-Kenmore-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/122-Kenmore-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/122-Kenmore-Middle-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/122-Kenmore-Middle-School/?utm_source=GSAPI&utm_medium=referral,938.0,4.0,4.0,22204
6,4960,Langston High School Continuation Program,public,n/a,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"2121 North Culpeper Street, 
Arlington, VA  22207",(703) 228-5295,,http://www.apsva.us/hsc/site/default.asp,510027002944,38.89597,-77.12667,https://www.greatschools.org/virginia/arlington/4960-Langston-High-School-Continuation-Program/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/4960-Langston-High-School-Continuation-Program/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/4960-Langston-High-School-Continuation-Program/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/4960-Langston-High-School-Continuation-Program/?utm_source=GSAPI&utm_medium=referral,,,3.0,22207
7,5427,New Directions Alternative High School Program,public,n/a,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"2847 Wilson Boulevard, 
Arlington, VA  22201",(703) 228-2117,,http://apsva.us/Domain/2767,510027002860,38.889095,-77.09283,https://www.greatschools.org/virginia/arlington/5427-New-Directions-Alternative-High-School-Program/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/5427-New-Directions-Alternative-High-School-Program/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/5427-New-Directions-Alternative-High-School-Program/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/5427-New-Directions-Alternative-High-School-Program/?utm_source=GSAPI&utm_medium=referral,,,,22201
8,2009,Our Savior Lutheran School,private,PK-8,Arlington,VA,,,,"825 S Taylor St, 
Arlington, VA  22204",(703) 892-4846,(703) 892-4847,http://www.osva.org,01433408,38.860477,-77.10423,https://www.greatschools.org/virginia/arlington/2009-Our-Savior-Lutheran-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/2009-Our-Savior-Lutheran-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/2009-Our-Savior-Lutheran-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/2009-Our-Savior-Lutheran-School/?utm_source=GSAPI&utm_medium=referral,130.0,,5.0,22204
9,2241,Rivendell School,private,K-8,Arlington,VA,,,,"5700 Lee Highway, 
Arlington, VA  22207",(703) 532-1200,,http://rivendellschool.net/,A9106697,38.894855,-77.142265,https://www.greatschools.org/virginia/arlington/2241-Rivendell-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/2241-Rivendell-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/2241-Rivendell-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/2241-Rivendell-School/?utm_source=GSAPI&utm_medium=referral,146.0,,5.0,22207
10,1957,Saint Ann Catholic School,private,PK-8,Arlington,VA,,,,"980 North Frederick Street, 
Arlington, VA  22205",(703) 525-7599,,www.stann.org,01432244,38.880764,-77.12646,https://www.greatschools.org/virginia/arlington/1957-Saint-Ann-Catholic-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/1957-Saint-Ann-Catholic-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/1957-Saint-Ann-Catholic-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/1957-Saint-Ann-Catholic-School/?utm_source=GSAPI&utm_medium=referral,195.0,,5.0,22205
11,1958,St Agnes School,private,PK-8,Arlington,VA,,,,"2024 North Randolph Street, 
Arlington, VA  22207",(703) 527-5423,,http://www.saintagnes.org/pages/school.html,01432255,38.895527,-77.11037,https://www.greatschools.org/virginia/arlington/1958-St-Agnes-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/1958-St-Agnes-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/1958-St-Agnes-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/1958-St-Agnes-School/?utm_source=GSAPI&utm_medium=referral,408.0,,4.0,22207
12,1956,St. Thomas More Cathedral School,private,PK-8,Arlington,VA,,,,"105 North Thomas Street, Arlington VA 22203, 
Arlington, VA  22203",(703) 528-6781,,http://www.stmschool.org/,01432233,38.87106,-77.10464,https://www.greatschools.org/virginia/arlington/1956-St.-Thomas-More-Cathedral-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/1956-St.-Thomas-More-Cathedral-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/1956-St.-Thomas-More-Cathedral-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/1956-St.-Thomas-More-Cathedral-School/?utm_source=GSAPI&utm_medium=referral,400.0,,4.0,22203
13,3045,Stratford Program,public,n/a,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"1644 North McKinley Street, 
Arlington, VA  22207",(703) 228-6440,,http://www.apsva.us/stratford/site/default.asp,510027002331,38.886642,-77.1417,https://www.greatschools.org/virginia/arlington/3045-Stratford-Program/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/3045-Stratford-Program/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/3045-Stratford-Program/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/3045-Stratford-Program/?utm_source=GSAPI&utm_medium=referral,,,1.0,22207
14,128,Swanson Middle School,public,6-8,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"5800 Washington Boulevard, 
Arlington, VA  22205",(703) 228-5500,,http://www.apsva.us/swanson/site/default.asp,510027000107,38.88317,-77.13897,https://www.greatschools.org/virginia/arlington/128-Swanson-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/128-Swanson-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/128-Swanson-Middle-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/128-Swanson-Middle-School/?utm_source=GSAPI&utm_medium=referral,1123.0,7.0,5.0,22205
15,3044,Tech. Ed. & Career Center,public,n/a,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"816 South Walter Reed Drive, 
Arlington, VA  22204",(703) 228-5800,,http://www.apsva.us/careercenter/site/default.asp,510027000109,38.864452,-77.08828,https://www.greatschools.org/virginia/arlington/3044-Tech.-Ed.-&-Career-Center/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/3044-Tech.-Ed.-&-Career-Center/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/3044-Tech.-Ed.-&-Career-Center/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/3044-Tech.-Ed.-&-Career-Center/?utm_source=GSAPI&utm_medium=referral,,,,22204
16,134,Williamsburg Middle School,public,6-8,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"3600 North Harrison Street, 
Arlington, VA  22207",(703) 228-5450,,http://apsva.us/Domain/1890,510027000113,38.909336,-77.14717,https://www.greatschools.org/virginia/arlington/134-Williamsburg-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/134-Williamsburg-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/134-Williamsburg-Middle-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/134-Williamsburg-Middle-School/?utm_source=GSAPI&utm_medium=referral,1198.0,7.0,4.0,22207
