Property Name,Address,City,State,Zip Code,Total Units,Year Built,Stories,Studio Rent,Studio SF,1 BR Rent,1 BR SF,2 BR  Rent,2 BR SF,3 BR Rent,3 BR SF,W/D InUnit,Dishwasher,Parking Fee?,Specials/Promotions ,Business Center,Community Room,Fitness/Gym,Air Conditioning,Pool,Playground,Basketball Court,Tennis Court,Racquetball Court,Fireplace
"Trellis House
",2323 Sherman Ave NW,Washington,DC,20001,,,,1899.00,427.00,2198.00,570.00,3935.00,1368.00,,,yes,yes,175.00,,,,yes,yes,yes,,,,,
"Meridian at Mt Vernon Triangle
",425 L St NW,Washington,DC,20001,,,,2255.00,500.00,2375.00,709.00,3290.00,1134.00,,,,yes,148.33,,,,yes,yes,yes,,,,,
Meridian at Gallery Place,450 Massachusetts Ave NW,Washington,DC,20001,,,,2210.00,510.00,2555.00,815.00,3100.00,1194.00,,,,yes,235.00,,,,yes,yes,yes,,,,,
The Shay,1924 8th St NW,Washington,DC,20001,,,,1946.00,572.00,2222.00,580.00,3299.00,996.00,,,,yes,,,,,yes,,yes,,,,,
"The Ashton at Judiciary Square
",750 3rd St NW,Washington,DC,20001,,,,,,3376.00,1197.00,4500.00,1571.00,,1571.00,,,300.00,,,,yes,,yes,,,,,
Mass Court,300 Massachusetts Ave NW,Washington,DC,20001,,,,2394.00,565.00,2441.00,679.00,3604.00,1062.00,,,,yes,225.00,,,yes,yes,yes,yes,,,,,
Jefferson Marketplace,15101514 7th St NW,Washington,DC,20001,,,,2076.00,546.00,2394.00,628.00,3715.00,1095.00,4531.00,1200.00,,,197.50,,,yes,yes,,yes,,,,,
Lydian,400 K St NW,Washington,DC,20001,,2018,,,544.00,2572.00,718.00,3598.00,1100.00,,,,,235.00,,,,yes,,yes,,,,,
Harlow,"
1100 2nd Pl SE",Washington,DC,20003,,2019,,,,2338.00,635.00,3223.00,853.00,4813.00,1608.00,,,,,,yes,yes,,yes,,,,,
West Half,1201 Half St SE,Washington,DC,20003,462,2020,,1775.00,414.00,1975.00,569.00,3690.00,1056.00,6090.00,1129.00,,,,,,,yes,yes,yes,,,,,
"The Lockwood
",13391355 E St SE,Washington,DC,20003,145,2019,5,2081.00,497.00,2395.00,567.00,3808.00,987.00,4842.00,1315.00,,yes,200.00,,,,yes,,,,,,,
"Guild
",1346 4th St SE,Washington,DC,20003,191,2019,9,2029.00,496.00,2413.00,665.00,4254.00,1188.00,,,,,,,,,,,,,,,,
The Collective,880 New Jersey Ave SE,Washington,DC,20003,432,2016,13,2075.00,495.00,2385.00,526.00,3500.00,990.00,5105.00,1417.00,,,175.00,,yes,yes,yes,,yes,yes,yes,,,
"The Bixby
",601 L St SE,Washington,DC,20003,195,2016,4,,,2152.00,651.00,2925.00,857.00,,,,yes,175.00,,yes,yes,yes,yes,yes,,,,,
"Bell Capitol Hill
",1717 E Capitol St SE,Washington,DC,20003,141,2013,4,,461.00,2390.00,773.00,2920.00,989.00,,,,yes,135.00,,,yes,yes,yes,,,,,,
The Yards Collection,1212 4th St SE,Washington,DC,20003,715,2016,11,1765.00,385.00,2001.00,653.00,3182.00,1031.00,,,,yes,225.00,,y,yes,yes,,yes,,,,,
The Residences at Eastern Market,777 C St SE,Washington,DC,20003,178,2017,5,,,4530.00,973.00,5881.00,1379.00,7580.00,1673.00,,,200.00,,,,,,,,,,,
The Lansburgh,425 8th St NW,Washington,DC,20004,385,"1991
/2017",11,,,2500.00,666.00,3475.00,1325.00,,,,yes,260.00,,yes,yes,yes,,yes,,,,,
The Lexington at Market Square,444 8th St NW,Washington,DC,20004,135,2002,12,1945.00,525.00,2612.00,805.00, ,1051.00,,,,yes,,,,,,,,,,,,
"Newseum Residences
",565 Pennsylvania Ave NW,Washington,DC,20004,135,2007,6,2018.00,490.00,2828.00,824.00,4283.00,1279.00,,,,yes,350.00,,,,,yes,,,,,,
1301 Thomas Circle,1301 M St NW,Washington,DC,20005,292,2006,10,,,2370.00,635.00,3471.00,1084.00,4924.00,1380.00,,,260.00,,,,yes,yes,yes,,,,,
Post Massachusetts Avenue,1499 Massachusetts Ave NW,Washington,DC,20005,279,2002,15,,400.00,3405.00,924.00,3505.00,965.00,4905.00,1261.00,,,225.00,,,,yes,,yes,,,,,
The Woodward,733 15th St NW,Washington,DC,20005,189,1911/2007,11,1915.00,484.00,,745.00,3470.00,1005.00,5005.00,1409.00,,yes,,,yes,yes,yes,yes,,,,,,
"The Hudson and DeSoto
",1445 P St NW,Washington,DC,20005,66,2004,7,2170.00,461.00,2975.00,728.00,3110.00,922.00,,,,,245.00,,,,,,yes,,,,,
"1500 Mass
",1500 Massachusetts Ave NW,Washington,DC,20005,556,1951,9,1730.00,456.00,2060.00,580.00,,,,,yes,,,,yes,,yes,yes,,,,,,
Zen Apollo,"1234 Massachusetts Avenue, NW
",Washington,DC,20005,273,1968,10,1600.00,447.00,2000.00,670.00,,,,,yes,yes,225.00,,yes,yes,yes,yes,yes,,,,,
"The Seville
",1401 N St NW,Washington,DC,20005,145,1965,10,1785.00,455.00,2212.00,840.00,,,,,yes,yes,160.00,,,,,yes,yes,,,,,
Andover House,1200 14th St NW,Washington,DC,20005,171,2004,12,2204.00,585.00,2669.00,762.00,3619.00,1128.00,,,,yes,260.00,,,,yes,yes,,,,,,
"The Statesman
",2020 F St NW,Washington,DC,20006,281,1961,8,2034.00,625.00,2605.00,800.00,,,,,yes,yes,240.00,yes,,,yes,,,,,,,
The Woodward,733 15th St NW,Washington,DC,20006,189,renovated in 2007,11,1915.00,484.00,,745.00,3470.00,1005.00,5005.00,1409.00,,yes,,,yes,yes,yes,yes,,,,,,
"Potomac Park
",510 21st St NW,Washington,DC,20006,145,1949,9,1612.00,474.00,2874.00,755.00,,,,,yes,yes,225.00,,,,yes,yes,,,,,,
The Glover House,2101 Wisconsin Ave NW,Washington,DC,20007,225,2019,8,1853.00,372.00,2175.00,517.00,3437.00,956.00,4380.00,1192.00,,yes,,,,,yes,,yes,,,,,
"Highbridge
",2512 Q St,Washington,DC,20007,96,2018,3,1950.00,353.00,2850.00,635.00,3960.00,795.00,,,yes,yes,300.00,,yes,yes,yes,yes,,,,,,
eaves Glover Park,3850 Tunlaw Rd NW,Washington,DC,20007,120,1953,8,,,1988.00,750.00,2701.00,902.00,,,YES,yes,155.00,,yes,,yes,yes,,,,,,
Park Crest,2324 41st St NW,Washington,DC,20007,403,1943,3,1320.00,304.00,1627.00,761.00,1919.00,837.00,,,yes,,,,,,yes,,,,,,,
Skyline Towers,2730 Wisconsin Ave NW,Washington,DC,20007,71,1939,8,,460.00,1700.00,725.00,2550.00,977.00,,1545.00,yes,yes,120.00,,,,,yes,,,,,,
Alban Towers,3700 Massachusetts Ave NW,Washington,DC,20007,229,1928,6,2275.00,537.00,2397.00,644.00,3935.00,1078.00, ,1422.00,,,,,yes,yes,yes,,yes,,,,,
"2255 Wisconsin
",2255 Wisconsin Ave NW,Washington,DC,20007,84,215,4,1990.00,461.00,2300.00,612.00,3260.00,863.00,,,yes,yes,,,,,,yes,,,,,,
The Garfield House,2844 Wisconsin Ave NW,Washington,DC,20007,104,1964,10,1495.00,465.00,,,,,,,yes,yes,165.00,,,,,yes,yes,,,,,
The Barton at Woodley,2701 Calvert St NW,Washington,DC,20008,217,2001,11,,580.00,2314.00,772.00,3490.00,1121.00,,,,,,,,,yes,,,,,,,
Quebec House,2800 Quebec St NW,Washington,DC,20008,850,1950,13,1586.00,480.00,2089.00,775.00, ,1000.00,,,yes,yes,160.00,,yes,yes,yes,yes,,,,,,
Connecticut Plaza Apartments,2901 Connecticut Ave NW,Washington,DC,20008,234,1927,5,1760.00,442.00,1815.00,450.00,2970.00,892.00,,,yes,yes,180.00,,yes,ys,yes,yes,,,,,,
Connecticut Heights,4850 Connecticut Ave NW,Washington,DC,20008,518,1974,12,1550.00,396.00,1810.00,600.00,2240.00,750.00,,,yes,,150.00,,,,yes,yes,yes,,,yes,,
Ora,2144 California St NW,Washington,DC,20008,113,1959/2019,9,2080.00,426.00,2170.00,417.00,4438.00,817.00,,,,yes,350.00,es,yes,yes,yes,yes,,,,,,
AVA Van Ness,2950 Van Ness St NW,Washington,DC,20008,269,1978,9,,,1836.00,765.00,2696.00,995.00,,,yes,yes,105.00,,,,yes,yes,yes,,,yes,,
Gelmarc Towers,1930 Columbia Rd NW,Washington,DC,20008,166,1951,8,1650.00,410.00,1845.00,451.00,,1050.00,,,yes,yes,237.50,,,,,es,,,,,,
The Glover House,2101 Wisconsin Ave NW,Washington,DC,20008,225,2019,8,1853.00,372.00,2175.00,517.00,3437.00,956.00,4380.00,1192.00,,yes,,,yes,,yes,yes,yes,,,,,
The Modern at Art Place,400 Galloway St NE,Washington,DC,20011,521,2017,6,1585.00,415.00,1869.00,663.00,2066.00,845.00,,,yes,yes,130.00,,,,,yes,yes,,,,,
The Swift at Petworth Metro,3828 Georgia Ave NW,Washington,DC,20011,218,2014,5,1540.00,611.00,1660.00,604.00,2850.00,1057.00,,,,yes,175.00,,yes,yes,yes,yes,yes,,,,,
The Woodner,3636 16th St NW,Washington,DC,20011,1123,1951,12,1299.00,425.00,1729.00,625.00,2029.00,750.00,,,yes,,150.00,,yes,yes,yes,yes,yes,,,,,
Aventine Fort Totten,5210 3rd St NE,Washington,DC,20011,308,2007,4,1462.00,585.00,1605.00,634.00,2241.00,987.00,,,,yes,,,,,yes,yes,yes,,,,,
The Rittenhouse,6101 16th St NW,Washington,DC,20011,208,1957,9,1400.00,504.00,1634.00,982.00,,1100.00, ,1580.00,,yes,,,,,yes,yes,yes,,,,,
Brookland Ridge Apartments,400 Taylor St NE,Washington,DC,20011,354,1980,4,,,1570.00,680.00,1925.00,972.00,,,,yes,,,,,yes,yes,,,,yes,,
Tivoli Gardens,1445 Ogden St NW,Washington,DC,20011,226,1937,4,1325.00,540.00,1500.00,710.00,,900.00,,,yes,,,,,,yes,,,,,,,
Griffin Apartments,3801 Georgia Ave NW,Washington,DC,20011,49,2011,6,,,,615.00,3006.00,1136.00,,,,yes,150.00,,,,,yes,,,,,,
Takoma Central,235 Carroll St NW,Washington,DC,20012,150,2014,5,1640.00,434.00,2064.00,533.00,2592.00,1030.00,,,,yes,175.00,,,,yes,yes,,,,,,
Rock Creek Springs Apartments,8000 Eastern Dr,Washington,DC,20012,215,1955,3,,,,700.00,1915.00,750.00,,,,yes,,,yes,yes,yes,yes,ys,,,,,
The Pearl,180 High Park Ln,Washington,DC,20012,284,2017,14,1790.00,539.00,1925.00,655.00,2695.00,957.00,3490.00,1252.00,yes,yes,,,yes,,y,yes,,yes,,,,
Gables Takoma Park,7035 Blair Rd NW,Washington,DC,20012,145,2009,4, ,536.00,2195.00,813.00,2200.00,873.00,,,,yes,,,,,yes,yes,,,,,,
Willow & Maple,6918 Willow St NW,Washington,DC,20012,102,2016,3,1816.00,513.00,2279.00,761.00,3339.00,979.00,,2100.00,,yes,150.00,,ys,,yes,,,,,,,
6600 Luzon,6600 Luzon Ave NW,Washington,DC,20012,118,1942,5,1424.00,500.00,1721.00,800.00,2116.00,1000.00,2620.00,1300.00,yes,yes,,,,,,yes,,,,,,
Montgomery Gardens,"75177521 Blair Rd, Takoma Park",Washington,DC,20012,80,1967,4,,,,675.00,1586.00,775.00,,,yes,yes,,,,,yes,yes,,yes,yes,yes,,
The Kenmore,5415 Connecticut Ave NW,Washington,DC,20015,374,1949,9,1535.00,425.00,1779.00,700.00,2789.00,1180.00,,,,yes,197.50,,,,,,,,,,,
Wisconsin Place,"4440 Willard Ave, Chevy Chase",Washington,DC,20015,432,2008,15, ,469.00,2069.00,750.00,3311.00,1067.00,,1222.00,,,,,,yes,yes,,yes,,,,,
Brittany Apartments,5432 Connecticut Ave NW,Washington,DC,20015,73,1953,7,,,1875.00,730.00,,,,,yes,yes,65.00,,,,,yes,,,,,,
5333 Connecticut,5333 Connecticut Ave NW,Washington,DC,20015,261,2016,9,,478.00,1869.00,530.00,2994.00,953.00,,,,,,,,,,,yes,,,,,
Livingston,5437 Connecticut Ave NW,Washington,DC,20015,68,1954,9,1452.00,428.00,1682.00,752.00,,,,,yes,,,,,,yes,yes,,,,,,
La Reine Apartments,5425 Connecticut Ave NW,Washington,DC,20015,95,1929,5,1595.00,410.00,,,,,,,,,,,,,,,,,,,,
5100 Connecticut Avenue Apartment,5100 Connecticut Ave NW,Washington,DC,20015,43,1962,7,1450.00,341.00,,599.00,,,,,yes,,150.00,,,,,yes,,,,,,
Vaughan Place,3401 38th St NW,Washington,DC,20016,396,2005,10,,500.00,2458.00,800.00,3222.00,912.00,,,,yes,100.00,,yes,yes,yes,yes,yes,,,,,yes
"The Berkshire
",4201 Massachusetts Ave NW,Washington,DC,20016,757,1950,11,1550.00,350.00,1800.00,600.00,3600.00,1200.00,,,yes,,,,,,yes,,,,,,,
Avalon at Foxhall,4100 Massachusetts Ave NW,Washington,DC,20016,308,1982,14,,550.00,2350.00,845.00,3775.00,1340.00,,1340.00,,yes,120.00,,,,yes,yes,yes,,,,,
4000 Massachusetts,4000 Massachusetts Ave NW,Washington,DC,20016,441,1957,16,1515.00,475.00,1900.00,900.00,2500.00,1100.00,3950.00,1800.00,yes,yes,95.00,,,,,yes,yes,,,,,
Connecticut Heights,4850 Connecticut Ave NW,Washington,DC,20016,518,1974,12,1545.00,396.00,1805.00,600.00,2270.00,750.00,,,yes,,,,,,yes,yes,yes,,,yes,,
eaves Glover Park,3850 Tunlaw Rd NW,Washington,DC,20016,120,1953,8,,,1964.00,750.00,2696.00,902.00,,,yes,yes,172.50,,yes,,yes,yes,,,,,,
Macomb Gardens,"3725 Macomb St NW, Washington",Washington,DC,20016,78,1939,6,1525.00,462.00,1725.00,645.00,,1013.00,,,yes,,,,,,,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
